carrierid	component	quantity	timeatfirstload	maxtotaltime	previouspauses	aux2	package	phs_nom_height
003788	DDPR_1255	294	2023-10-16 11:02:39.065974	7	140.174414026725	0.55000000000000000000	QFN32-5X5_0.55h	550
001938	DXXX_1093	11	2023-11-17 10:24:37.651622	0	0	0.90000000000000000000	QFN32-5X5	900
003893	DARA_1665	15	2023-10-25 11:27:58.532375	7	0	1.4000000000000000	QFN20-7X1.4_Ref	1400
005102	DARA_0800	44	2024-06-11 12:02:54.1946	0	63.785036744213	0.80000000000000000000	QFN16-3X3	800
004127	DARA_1071	10	2023-12-04 10:27:30.446677	7	144.234678113137	0.90000000000000000000	QFN24-5X5	900
004047	DARA_1241	12	2023-11-17 09:57:26.198813	7	118.021169628021	0.90000000000000000000	QFN24-5X5	900
005103	DARA_0800	7	2024-06-11 12:03:16.827038	7	148.902296778148	0.80000000000000000000	QFN16-3X3	800
006236	DXXX_1609	520	2024-11-27 13:47:52.061708	7	0	0.90000000000000000000	QFN48-7.1x7.1.opt	900
004050	OPGD_0130	2000	2023-11-17 11:36:58.521568	7	128.995767648866	1.00000000000000000000	0603-10	1000
002885	DXXX_1344	42	2024-01-31 18:24:21.410804	7	26.9845788379514	0.78000000000000000000	QFN12-3X3_REF	780
000793	DARA_1422	7	2023-01-31 11:01:43.780229	7	620.384885486655	0.78000000000000000000	QFN12-3X3	780
005518	OPGD_0130	558	2024-08-08 16:08:19.686898	7	63.9613416967361	1.00000000000000000000	0603-10	1000
004054	OPGD_0130	2000	2023-11-17 11:41:32.556535	7	128.992983353484	1.00000000000000000000	0603-10	1000
002792	OPGD_0131	182	2023-06-19 14:14:06.549631	0	233.275662720093	4.0000000000000000	Diode 4x4mm	4000
004902	DARA_1401	5	2024-04-19 09:41:27.538982	0	95.2105673737847	1.5000000000000000	SOT-89	1500
002100	DXXX_0993	80	2023-03-27 14:04:28.936509	7	549.695180030637	0.80000000000000000000	QFN24-4X4	800
004417	DASP_0603	1	2024-01-26 10:51:24.067044	365	24.1043259161921	0.90000000000000000000	TSSOP08-0.65-BW:3.2	900
004200	DASP_0971	168	2023-12-12 10:10:58.939715	365	136.082790261481	1.7000000000000000	T0-6	1700
004310	DARA_0800	6	2024-01-09 12:04:26.515573	7	29.8224049437037	0.80000000000000000000	QFN16-3X3	800
004888	DASP_1668	57	2024-04-16 15:48:19.59555	365	2.9221091921875	0.80000000000000000000	SOT-23_5_08.opt	800
004308	DAOP_0758	25	2024-01-09 12:02:42.934715	365	0	0.80000000000000000000	QFN16-3X3	800
004309	DXXX_0769	10	2024-01-09 12:02:04.399054	365	0	0.90000000000000000000	QFN32-5X5	900
004808	DASP_1143	30	2024-03-26 13:49:38.817315	365	0	0.90000000000000000000	QFN20-5X5	900
002881	DXXX_1030	175	2023-06-30 13:37:41.27015	28	350.072573411238	0.85000000000000000000	QFN64-9X9	850
004101	DXXX_1148	520	2023-11-28 08:50:05.705945	365	0	0.85000000000000000000	QFN64-9X9	850
004098	DXXX_1148	260	2023-11-28 08:46:53.308857	365	0	0.85000000000000000000	QFN64-9X9	850
004100	DXXX_1148	260	2023-11-28 08:48:33.308215	365	0	0.85000000000000000000	QFN64-9X9	850
004102	DXXX_1148	260	2023-11-28 08:51:44.855711	365	0	0.85000000000000000000	QFN64-9X9	850
004985	DARA_0965	1	2024-05-10 09:40:42.733448	7	72.1155757201042	0.90000000000000000000	QFN32-5X5.meh	900
005550	CUNI_1470	2951	2024-08-20 09:13:25.8955	365	86.1970369594329	1.00000000000000000000	0805-09.light	1000
002244	DXXX_0575	1	2023-04-11 16:10:36.579313	365	412.957888504641	1.2000000000000000	SOT-23-5.opt	1200
002841	DARA_1269	5	2023-06-28 09:44:12.489411	7	384.254513468287	0.90000000000000000000	QFN32-5X5	900
004251	DARA_1701	1	2023-12-21 09:42:02.346643	7	0	2.0000000000000000	!DUMMY	2000
004252	DDXX_1587	300	2023-12-21 10:16:19.451256	3	0	2.6000000000000000	MXL1105L	2600
004253	DDXX_1587	300	2023-12-21 10:18:28.5412	3	0	2.6000000000000000	MXL1105L	2600
004254	DDXX_1587	300	2023-12-21 10:19:18.828641	3	0	2.6000000000000000	MXL1105L	2600
004255	DDXX_1587	300	2023-12-21 10:20:06.555566	3	0	2.6000000000000000	MXL1105L	2600
003446	DASP_0910	50	2023-09-11 09:22:58.978364	365	435.143609603947	0.95000000000000000000	QFN10-3X3	950
005057	DARA_1432	32	2024-05-29 09:26:58.786865	7	104.563171044734	1.8000000000000000	QFN20-5X5.5	1800
004664	DARA_1471	10	2024-07-23 09:51:20.297629	7	0	3.0000000000000000	QFN50	3000
003195	DDAT_1466	225	2023-08-08 10:37:34.480495	7	260.582221318299	0.75000000000000000000	WSON_8X6	750
004822	OPFD_4156	36	2024-04-02 12:38:39.896461	3	72.7636264073032	1.1000000000000000	5042-11	1100
005014	DARA_1241	10	2024-05-20 13:47:55.996366	7	1.82659717902778	0.90000000000000000000	QFN24-5X5	900
002965	DASP_1265	1730	2023-07-07 14:48:25.14185	0	25.9041146933565	1.00000000000000000000	QFN20-4X4	1000
004436	CELE_0823	12	2024-01-30 10:21:45.562654	7	198.391590610637	2.9000000000000000	CTD_melns korp h2.9	2900
004438	OPGD_0137	33	2024-01-30 10:24:54.632117	7	51.1726730318519	1.3000000000000000	Diode 3.2x2.7	1300
004388	DXXX_0942	22	2024-01-22 09:05:58.222701	365	179.26365818103	0.80000000000000000000	QFN24-4X4	800
004389	DARA_0474	300	2024-01-22 09:59:43.293785	7	0	0.80000000000000000000	QFN24-4X4	800
004043	OPGD_0065	9	2023-11-17 08:34:36.919788	365	22.0357984859722	1.1000000000000000	D0805-0.75	1100
005894	DASP_0603	664	2024-10-15 10:06:00.817617	365	10.0609312820602	0.90000000000000000000	TSSOP08-0.65-BW:3.2	900
003400	DXXX_1140	135	2023-08-25 08:59:52.914624	0	227.496753716262	0.90000000000000000000	QFN32-5X5	900
004720	DARA_1117	111	2024-03-05 10:39:47.559128	0	26.8271285923727	0.90000000000000000000	QFN40-6X6	900
004371	DARA_0800	154	2024-01-19 16:31:44.48118	0	27.1817474915972	0.80000000000000000000	QFN16-3X3	800
004577	DARA_1190	5	2024-02-05 09:02:53.665589	7	249.102134075116	0.80000000000000000000	QFN24-4X4	800
004580	DXXX_1363	162	2024-02-05 09:12:00.023615	7	256.268498318021	0.80000000000000000000	QFN24-4X4	800
003785	DASP_0751	10	2024-04-23 15:55:34.976954	7	18.9620958226852	0.75000000000000000000	DFN8D-3x3	750
003713	DXXX_0769	7	2023-10-03 13:43:17.031688	365	98.26318354625	0.90000000000000000000	QFN32-5X5	900
002159	DXXX_1150	106	2024-02-12 15:36:21.410966	365	82.4825430529861	1.1000000000000000	TSSOP48-0.50-BW:6.1	1100
004809	DASP_1144	95	2024-03-26 13:52:24.190769	365	0	0.60000000000000000000	QFN8-2.1X2.1	600
002621	DASP_0751	229	2023-06-02 15:01:47.465225	0	326.02672659331	0.75000000000000000000	DFN8D-3x3	750
002549	DDPR_1056	4	2023-05-26 15:33:42.747868	7	360.769109993553	1.5000000000000000	LQFP64-0.50	1500
002551	DDAT_1243	181	2023-05-26 15:39:40.540771	7	408.736272030035	1.1000000000000000	TSOP48-BW:18.4	1100
002104	DARA_0960	19	2023-03-27 14:06:59.919287	0	410.191631065035	0.90000000000000000000	QFN32-5X5.meh	900
004729	DXXX_1233	8	2024-03-08 13:39:33.976198	7	167.058756032755	0.85000000000000000000	QFN64-9X9	850
004579	DARA_1241	12	2024-02-05 09:08:35.323775	7	70.4761847851157	0.90000000000000000000	QFN24-5X5	900
004733	DDPR_1711	13	2024-03-12 14:21:19.270487	7	155.02418159316	1.00000000000000000000	TQFP64-0.50	1000
004026	DXXX_0629	433	2023-11-14 13:55:12.900948	0	124.706276398241	1.00000000000000000000	QFN20-4X4	1000
004876	DDAT_0945	10	2024-04-16 08:37:08.472536	7	0	1.5500000000000000	SO8	1550
004855	DXXX_1157	189	2024-04-11 10:08:37.108273	3	61.0237757022801	2.6500000000000000	BGA1440-38x38-0.8	2650
004776	DAXX_0798	10	2024-03-15 14:43:27.055949	7	195.831814569618	0.80000000000000000000	QFN16-3X3	800
004775	DAXX_0798	37	2024-03-15 14:42:22.48944	7	138.81904516265	0.80000000000000000000	QFN16-3X3	800
004777	DAXX_0798	45	2024-03-15 14:44:21.10194	7	0	0.80000000000000000000	QFN16-3X3	800
003360	DXXX_1277	221	2023-08-16 16:07:36.549587	0	17.7066782910185	0.90000000000000000000	QFN32-5X5	900
004870	DASP_1553	37	2024-04-15 16:44:02.796859	365	10.7836091902083	0.90000000000000000000	VQFN-HR_1h_REF	900
002101	DARA_1092	8	2024-05-21 11:36:24.079796	365	28.0610855041898	0.80000000000000000000	QFN8-3X3.opt	800
005695	DAKO_1651	3000	2024-09-16 16:12:52.546027	365	44.7111457302315	1.00000000000000000000	SOT-353	1000
004276	CUNI_4177	377	2024-01-02 14:19:31.255911	0	24.7408340861458	2.7500000000000000	2923-2.75	2750
002805	OPGD_0053	288	2023-11-08 17:02:05.785567	365	14.3513996534606	1.00000000000000000000	0603-10	1000
000254	DXXX_1142	32	2023-01-12 11:59:39.670079	365	219.945860005938	0.80000000000000000000	QFN24-4X4	800
004884	CUNI_4177	100	2024-04-16 11:17:21.333524	7	0	2.7500000000000000	2923-2.75	2750
005041	DDPR_1255	11	2024-05-24 15:53:56.136016	7	179.699521123275	0.55000000000000000000	QFN32-5X5_0.55h	550
002210	DASP_0903	515	2024-04-25 11:46:51.996783	365	0.000145872430555556	0.90000000000000000000	TSSOP08-0.65-BW:3.2	900
001689	DDPR_1089	10	2023-02-28 09:11:47.930383	7	471.116167181713	1.00000000000000000000	BGA216-13x13-0.8	1000
006044	DASP_0903	1000	2024-10-29 10:54:21.174662	365	0	0.90000000000000000000	TSSOP08-0.65-BW:3.2	900
002095	DASS_1526	475	2023-05-25 14:39:51.42653	7	400.966835470926	0.80000000000000000000	QFN16-3X3_mark	800
001833	DXXX_1142	1947	2023-03-06 13:31:56.021829	365	415.927337064375	0.80000000000000000000	QFN24-4X4	800
002526	DARA_1092	1	2023-05-24 10:29:55.113194	0	1.3955116533912	0.80000000000000000000	QFN8-3X3.opt	800
001632	DARA_1257	1066	2024-05-21 11:35:15.460243	365	180.749564795174	0.75000000000000000000	QFN20-5X5_h0.75	750
006046	DASP_1207	3000	2024-10-29 11:11:51.749694	365	0	0.90000000000000000000	QFN20-5X5	900
003390	DARA_1240	16	2023-08-21 16:30:31.731797	7	334.168810116933	1.3500000000000000	QFN16-6x6.meh	1350
002363	OPOP_2716	988	2023-12-12 13:53:25.67556	0	122.020452501875	0.78000000000000000000	QFN16-3X3_REF	780
004724	CELE_0800	273	2024-03-07 08:19:03.072319	0	156.791284685718	2.6000000000000000	CTC_melns korp	2600
001675	DARA_1023	1403	2024-05-21 08:23:10.421608	0	58.9034092462731	0.90000000000000000000	QFN32-5X5	900
005166	OPGD_0117	29	2024-06-19 14:24:47.177663	0	21.2454979862269	4.0000000000000000	Diode 4x4mm	4000
004368	OPGD_0055	27	2024-01-19 09:56:10.10245	7	152.863234715972	1.00000000000000000000	D0603-04.opt	1000
003164	DARA_1020	33	2023-08-04 16:45:18.297966	7	431.828562928391	1.3500000000000000	QFN16-6x6.meh	1350
003985	DARA_0474	6	2023-11-07 09:31:44.270568	7	247.221328534028	0.80000000000000000000	QFN24-4X4	800
003163	DAOP_0984	2651	2023-08-04 16:41:32.614107	365	451.183548276562	1.00000000000000000000	SOT-23_5	1000
001665	DARA_0966	32	2023-03-17 13:15:35.417822	0	0.99665116337963	0.90000000000000000000	QFN32-5X5.meh	900
005399	OPGD_0137	52	2024-07-19 11:38:47.585702	7	0	1.3000000000000000	Diode 3.2x2.7	1300
005511	OPGD_0054	1298	2024-08-08 16:00:51.249013	7	51.1022658744097	1.00000000000000000000	D0603-04.opt	1000
003655	DASP_1145	2122	2023-10-02 10:26:19.27458	365	224.197908305625	1.4000000000000000	QFN22-6X5	1400
002628	DASP_1059	603	2023-06-02 15:09:09.73069	365	415.242472850891	0.80000000000000000000	QFN8-3X3	800
002243	DXXX_0575	37	2023-04-11 16:09:19.186849	365	509.679557821088	1.2000000000000000	SOT-23-5.opt	1200
005561	DAKO_1651	2310	2024-08-20 09:13:46.917568	365	97.2821394824653	1.00000000000000000000	SOT-353	1000
004277	DAKO_1651	1370	2024-01-02 14:37:19.184313	365	6.12025128878472	1.00000000000000000000	SOT-353	1000
006167	DXXX_1220	580	2024-11-15 12:01:51.829523	7	0	0.90000000000000000000	QFN48-7.1x7.1	900
005571	DARA_1241	8	2024-08-23 09:06:58.802863	7	13.2647854183912	0.90000000000000000000	QFN24-5X5	900
001096	OPGD_0136	956	2023-02-07 11:41:10.801726	0	298.47415355081	1.1000000000000000	D0805-0.75	1100
005575	DARA_1517	10	2024-08-27 13:36:15.322655	365	0	0.85000000000000000000	QFN48-0.4	850
005379	DDXX_1744	8	2024-07-18 16:23:27.377789	7	34.7950009696644	1.4000000000000000	LQFP48-0.50	1400
002625	DXXX_1027	125	2023-06-02 15:05:26.212853	0	114.869088587674	0.85000000000000000000	QFN64-9X9	850
000308	DASP_0860	76	2023-01-17 15:17:21.411073	365	481.997384279421	0.90000000000000000000	QFN10-3.6X3.6	900
001486	DASP_1108	812	2023-10-05 11:03:30.175387	0	181.122616491331	0.95000000000000000000	QFN10-3X3	950
002269	OPGD_0202	850	2023-04-12 10:21:23.783457	0	394.203809092292	0.75000000000000000000	D0805_L	750
005376	MAPM_4318	8	2024-07-18 15:44:41.896427	7	0	3.1000000000000000	NINA_2	3100
001288	DASP_1460	83	2023-02-16 09:22:27.068924	0	179.26568861647	0.80000000000000000000	QFN8-3X3	800
005396	DDAT_1747	4	2024-07-19 11:09:32.90995	7	34.0128740763657	0.75000000000000000000	WSON_6X5	750
005389	DARA_1746	4	2024-07-19 09:50:12.568819	7	34.0679249698495	0.85000000000000000000	QFN56-7x7	850
003901	DASP_1465	1662	2023-11-02 11:33:37.537303	365	83.469882171713	0.90000000000000000000	TSSOP08	900
004390	DXXX_1333	1421	2024-01-22 10:01:28.160252	365	85.9970963401505	1.1000000000000000	TSSOP20	1100
004900	DARA_1401	488	2024-04-19 09:40:10.494831	1	189.35241676103	1.5000000000000000	SOT-89	1500
005661	DARA_0800	12	2024-09-10 11:12:05.345645	7	56.3173351971759	0.80000000000000000000	QFN16-3X3	800
002999	DXXX_0775	144	2023-07-14 11:28:50.059127	7	478.995814024803	0.90000000000000000000	QFN48-7.1x7.1.opt	900
002456	DXXX_1288	78	2023-11-17 10:23:39.461674	0	0	0.90000000000000000000	QFN32-5X5	900
004839	DARA_1498	94	2024-04-05 09:04:33.307305	0	14.5576521359375	0.80000000000000000000	QFN16-3X3	800
005515	OPGD_0130	2000	2024-08-08 16:06:15.772448	7	47.7548742867824	1.00000000000000000000	0603-10	1000
005516	OPGD_0130	2000	2024-08-08 16:07:03.854646	7	47.7543020592824	1.00000000000000000000	0603-10	1000
005807	CUNI_1525	3000	2024-09-30 09:07:22.668962	3	0	1.00000000000000000000	0805-10	1000
005523	OPGD_0130	717	2024-08-08 16:12:28.167208	7	97.7013826677083	1.00000000000000000000	0603-10	1000
005520	OPGD_0130	2000	2024-08-08 16:10:26.24896	7	47.7520130626273	1.00000000000000000000	0603-10	1000
005001	OPOP_2433	723	2024-05-15 15:12:21.010868	0	33.6579449344213	1.00000000000000000000	QFN14-3X5	1000
003359	DAXX_1048	30	2023-11-16 11:35:57.682892	0	0	0.80000000000000000000	QFN16-3X3.meh	800
005519	OPGD_0130	2000	2024-08-08 16:09:39.784224	7	47.7525618955903	1.00000000000000000000	0603-10	1000
003961	DASP_1692	5	2023-11-06 08:57:11.812163	365	0	0.78000000000000000000	QFN12-3X2-simetric	780
002883	DXXX_1344	75	2023-06-30 13:40:02.291376	0	298.243619490995	0.78000000000000000000	QFN12-3X3_REF	780
005834	DARA_1462	432	2024-10-07 08:59:05.389374	0	21.115707471088	0.80000000000000000000	QFN16-3X3	800
001484	DDSL_0668	665	2023-11-28 18:53:19.974247	0	0	1.00000000000000000000	SOT-23_5	1000
005563	DASP_1741	10	2024-08-20 11:18:08.250574	7	6.1011364512037	1.8500000000000000	QFN22-6x4	1850
006074	DARA_1045	1567	2024-11-07 11:46:25.601919	365	0	1.00000000000000000000	SOT-363.opt	1000
005565	DXXX_1737	1	2024-08-20 11:51:44.464196	7	0	0.90000000000000000000	QFN32-5X5	900
005525	RUNI_168	2300	2024-11-07 09:01:46.835424	365	0	0.50000000000000000000	0805-05	500
003099	DASP_0859	1827	2023-07-28 09:40:01.428885	0	3.06413741759259	0.90000000000000000000	QFN10-3.6X3.6	900
003906	DARA_1462	4	2023-10-27 14:58:58.495915	0	174.068040751817	0.80000000000000000000	QFN16-3X3	800
004708	DARA_1071	43	2024-03-04 09:12:02.600942	0	95.3136984980093	0.90000000000000000000	QFN24-5X5	900
001126	DXXX_1148	101	2023-02-08 08:49:22.775046	365	516.023113159803	0.85000000000000000000	QFN64-9X9	850
001088	DARA_0878	744	2023-10-31 07:11:16.522787	0	1.21042655284722	0.80000000000000000000	QFN24-4X4	800
005655	DDXX_0902	1668	2024-09-10 10:23:11.700119	365	6.97431290811343	1.00000000000000000000	SOT-23_5	1000
004391	DASP_1668	55	2024-01-23 08:19:34.50366	365	106.107346168542	0.80000000000000000000	SOT-23_5_08.opt	800
005672	DARA_1241	12	2024-09-12 09:02:19.374513	7	0	0.90000000000000000000	QFN24-5X5	900
005726	DDAT_0937	1000	2024-09-20 13:57:22.049561	7	0	0.95000000000000000000	BGA84-8x12.5-0.8	950
002824	DXXX_0941	938	2023-12-07 17:53:45.784099	0	156.09713602772	0.80000000000000000000	QFN24-4X4	800
005873	DARA_1517	832	2024-10-10 13:13:10.104083	365	0.758807502685185	0.85000000000000000000	QFN48-0.4	850
005857	DDAT_1747	8	2024-10-08 09:20:49.893661	7	22.2075867766088	0.75000000000000000000	WSON_6X5	750
005856	VDSP_4304	40	2024-10-08 09:08:00.076348	365	21.2615532837732	0.50000000000000000000	DQA10_REF	500
005861	DDXX_1744	8	2024-10-08 09:31:38.633543	7	22.1793327955903	1.4000000000000000	LQFP48-0.50	1400
002267	OPGD_0203	1468	2023-04-12 10:18:51.161648	0	462.471553138264	0.75000000000000000000	D0805_L	750
005979	DXXX_1751	16	2024-10-18 11:46:58.42992	7	0	1.00000000000000000000	QFN20-4X4	1000
005978	QFXX_3538	51	2024-10-18 11:24:01.345327	365	33.9930577551505	1.1000000000000000	X3C19F1	1100
005977	DASP_1739	26	2024-10-18 11:23:19.433845	7	37.8450419691088	2.0000000000000000	QFN11-3.6X4.5_REF	2000
005973	DASP_1755	9	2024-10-18 10:37:11.096864	7	35.3338136070486	2.0000000000000000	QFN11-3.6X4.5_REF	2000
005984	DXXX_1234	70	2024-10-18 13:25:39.803221	7	0	0.80000000000000000000	QFN72-0.5	800
001537	DASP_1081	349	2023-02-22 09:31:57.915728	0	33.7353499713542	0.90000000000000000000	QFN20-4.5X3.6	900
000307	DASP_0860	1250	2023-01-17 15:16:28.384167	365	600.670217441586	0.90000000000000000000	QFN10-3.6X3.6	900
006173	QKRZ_2936	2824	2024-11-19 08:59:06.791536	0	0	0.70000000000000000000	1206-07_OPT	700
006174	DARA_1614	20	2024-11-19 08:57:23.348119	7	0	0.78000000000000000000	QFN12-3X3	780
005510	OPGD_0054	1560	2024-08-08 16:00:03.341295	7	73.9977254982639	1.00000000000000000000	D0603-04.opt	1000
002879	DASP_0930	314	2023-06-30 13:35:42.575884	365	194.151702765741	0.95000000000000000000	QFN10-3X3	950
006176	DXXX_1150	400	2024-11-19 09:12:21.350184	365	0	1.1000000000000000	TSSOP48-0.50-BW:6.1	1100
006054	DARA_1740	80	2024-11-01 09:51:51.210879	7	23.9042896635301	1.00000000000000000000	QFN20-4X4	1000
004680	DXXX_1356	117	2024-02-19 11:15:47.110691	7	258.068712761678	0.90000000000000000000	QFN32-5X5	900
001663	OPGD_0138	15	2023-02-27 10:46:14.64114	365	384.972996009653	0.80000000000000000000	RoundLed_REF	800
006094	RUNI_168	4267	2024-11-07 09:02:16.698989	365	12.4454125071181	0.50000000000000000000	0805-05	500
006147	DARA_1636	84	2024-11-11 16:05:20.785935	7	3.69456692618056	0.90000000000000000000	QPQ4900	900
006156	OPGD_0117	440	2024-11-12 13:43:07.455603	7	0.956080921168982	4.0000000000000000	Diode 4x4mm	4000
006150	DARA_1449	25	2024-11-12 08:11:51.899117	7	0	0.80000000000000000000	QFN24-4X4	800
004807	OPGD_0053	570	2024-03-26 11:35:51.927865	365	8.3998296287037	1.00000000000000000000	0603-10	1000
